--------------------------------------------------------------------------------
S H A P E   v2.1         Continuous Shape Measures calculation
(c) 2013  Electronic Structure Group, Universitat de Barcelona
                   Contact:  llunell@ub.edu                   
--------------------------------------------------------------------------------

coordination ZF1 

SP-4            1 D4h   Square                                             
T-4             2 Td    Tetrahedron                                        
SS-4            3 C2v   Seesaw                                             
vTBPY-4         4 C3v   Vacant trigonal bipyramid                          

Structure [ML4 ]         SP-4          T-4         SS-4      vTBPY-4
 0              ,      31.132,       0.848,       9.358,       2.358
 500            ,      30.378,       0.658,       8.771,       2.418
 1000           ,      33.141,       0.687,       8.114,       1.827
 1500           ,      31.019,       0.663,       8.334,       2.319
 2000           ,      30.462,       0.550,       8.001,       2.097
 2500           ,      30.014,       1.041,       7.969,       1.841
 3000           ,      31.786,       0.558,       8.604,       3.163
 3500           ,      32.894,       0.710,       7.793,       1.429
 4000           ,      28.912,       0.984,       8.367,       2.461
 4500           ,      32.514,       0.418,       8.737,       2.425
 5000           ,      31.268,       0.485,       8.178,       2.479
 5500           ,      31.155,       0.576,       7.298,       2.620
 6000           ,      30.558,       0.584,       8.538,       2.811
 6500           ,      32.526,       0.725,       8.441,       1.689
 7000           ,      31.334,       0.553,       8.250,       2.493
 7500           ,      32.687,       0.514,       8.453,       2.052
 8000           ,      33.260,       0.655,       8.941,       2.092
 8500           ,      33.044,       0.806,       7.830,       1.860
 9000           ,      32.542,       0.785,       7.513,       1.880
 9500           ,      30.456,       0.453,       8.480,       2.956
 10000          ,      30.039,       0.753,       7.975,       2.558
 10500          ,      31.123,       0.825,       8.339,       1.645
 11000          ,      31.306,       0.608,       8.842,       2.114
 11500          ,      32.183,       0.843,       8.424,       1.697
 12000          ,      32.122,       0.575,       8.234,       1.719
 12500          ,      31.792,       1.422,       7.038,       1.270
 13000          ,      31.504,       0.387,       8.300,       2.649
 13500          ,      32.275,       0.313,       8.708,       3.135
 14000          ,      30.743,       0.650,       7.559,       2.324
 14500          ,      30.985,       0.930,       7.436,       1.586
 15000          ,      31.572,       0.377,       8.547,       2.566
 15500          ,      31.370,       0.460,       8.496,       2.145
 16000          ,      30.964,       0.556,       8.148,       2.839
 16500          ,      32.224,       0.777,       8.204,       1.567
 17000          ,      29.597,       1.040,       7.863,       1.929
 17500          ,      32.221,       0.316,       9.428,       3.421
 18000          ,      32.182,       0.717,       8.228,       2.691
 18500          ,      31.383,       0.499,       7.554,       2.030
 19000          ,      30.627,       0.793,       8.759,       2.187
 19500          ,      31.702,       0.972,       8.093,       1.964
 20000          ,      32.178,       0.454,       9.017,       2.577
 20500          ,      31.218,       0.539,       8.509,       2.301
 21000          ,      28.961,       0.887,       8.170,       2.478
 21500          ,      33.259,       0.240,       8.589,       2.438
 22000          ,      32.731,       0.590,       8.787,       2.481
 22500          ,      33.343,       0.698,       8.163,       2.425
 23000          ,      28.833,       1.016,       6.642,       2.031
 23500          ,      30.831,       0.772,       8.136,       1.735
