--------------------------------------------------------------------------------
S H A P E   v2.1         Continuous Shape Measures calculation
(c) 2013  Electronic Structure Group, Universitat de Barcelona
                   Contact:  llunell@ub.edu                   
--------------------------------------------------------------------------------

coordination ZF1 

SP-4            1 D4h   Square                                             
T-4             2 Td    Tetrahedron                                        
SS-4            3 C2v   Seesaw                                             
vTBPY-4         4 C3v   Vacant trigonal bipyramid                          

Structure [ML4 ]         SP-4          T-4         SS-4      vTBPY-4
 0              ,      15.988,      11.229,       0.690,       8.591
 1000           ,      23.085,       9.679,       1.229,       6.063
 2000           ,      13.869,      14.330,       1.667,      10.417
 3000           ,      16.087,      11.156,       1.586,       8.557
 4000           ,      16.924,      12.715,       0.539,       9.947
 5000           ,      16.924,      11.609,       1.014,       8.271
 6000           ,      17.219,      11.860,       0.472,       9.064
 7000           ,      18.932,       9.943,       0.303,       7.026
 8000           ,      19.680,       9.771,       0.478,       7.431
 9000           ,      22.153,       8.917,       0.637,       5.855
 10000          ,      19.795,       8.335,       0.415,       6.419
 11000          ,      15.910,      11.431,       0.643,       9.408
 12000          ,      21.546,       8.227,       0.544,       6.466
 13000          ,      15.360,      10.982,       0.526,       9.081
 14000          ,      17.740,      10.168,       0.722,       7.629
 15000          ,      16.728,      12.064,       0.525,       9.479
 16000          ,      18.645,      10.893,       0.518,       7.811
 17000          ,      20.954,       8.547,       0.997,       6.737
 18000          ,      20.539,       9.153,       0.393,       6.718
 19000          ,      15.942,      10.532,       1.043,       7.890
 20000          ,      17.010,       9.729,       0.600,       7.323
 21000          ,      17.885,      10.478,       0.593,       7.838
 22000          ,      18.339,      11.112,       0.699,       8.254
 23000          ,      22.256,       8.845,       0.693,       7.175
 24000          ,      19.695,      10.237,       0.484,       8.355
 25000          ,      20.835,       9.516,       0.899,       6.712
 26000          ,      17.771,      10.272,       0.624,       7.204
 27000          ,      18.191,       8.686,       0.564,       6.929
 28000          ,      17.570,       9.157,       0.545,       7.924
 29000          ,      16.710,      10.776,       0.794,       7.674
 30000          ,      17.933,       9.694,       0.886,       6.687
 31000          ,      19.160,       9.227,       0.749,       6.583
 32000          ,      19.622,       9.810,       0.599,       6.868
 33000          ,      17.441,      11.972,       0.741,       8.366
 34000          ,      10.885,      12.995,       1.668,      11.915
 35000          ,      20.231,      10.061,       0.395,       7.861
 36000          ,      18.838,      10.323,       0.277,       7.835
 37000          ,      16.799,       9.998,       0.866,       7.133
 38000          ,      18.619,       9.206,       0.199,       7.102
 39000          ,      18.788,      12.091,       1.069,       8.412
 40000          ,      15.311,      11.415,       0.739,       8.804
 41000          ,      18.898,      10.486,       0.492,       8.666
 42000          ,      21.930,       8.452,       0.780,       5.631
 43000          ,      19.899,       9.555,       0.486,       7.564
 44000          ,      17.289,      12.186,       0.763,       9.151
 45000          ,      16.276,      12.124,       0.521,      10.353
 46000          ,      17.779,       9.745,       1.023,       6.225
 47000          ,      19.478,       9.248,       0.642,       6.904
 48000          ,      20.513,       9.663,       0.845,       8.031
